train_acc,train_loss,val_acc,val_loss
0.0356842105263158,4.3663816,0.07,4.021433
0.08120000000000002,3.9387007,0.10679999999999999,3.7704191
0.11764210526315791,3.709868,0.1432,3.5776196
0.15690526315789474,3.5002885,0.18080000000000004,3.3866282
0.18842105263157893,3.3127027,0.20679999999999998,3.2317438
0.2136421052631579,3.1698778,0.22719999999999999,3.150557
0.23873684210526316,3.0482976,0.25279999999999997,2.9891813
0.25726315789473686,2.9469895,0.2696,2.9172437
0.27574736842105263,2.861266,0.2844,2.8871984
0.2855578947368421,2.7931607,0.28280000000000005,2.8659492
0.302,2.709992,0.31,2.6916878
0.31090526315789474,2.6626403,0.3092,2.6711407
0.32265263157894736,2.603585,0.3132,2.644809
0.33991578947368417,2.5404973,0.32,2.6704276
0.34667368421052636,2.4978328,0.32880000000000004,2.5804825
0.3508,2.4702647,0.3292,2.632404
0.3618736842105263,2.426382,0.34919999999999995,2.4728696
0.3706526315789474,2.382327,0.3652,2.4357932
0.374821052631579,2.3570905,0.3595999999999999,2.4317918
0.3827157894736842,2.3250215,0.35359999999999997,2.4826937
0.38802105263157893,2.2988975,0.36519999999999997,2.4417288
0.395178947368421,2.2726703,0.3824,2.370913
0.40210526315789474,2.2339616,0.384,2.4111788
0.40444210526315794,2.2209158,0.39640000000000003,2.294478
0.41166315789473684,2.1927798,0.39440000000000003,2.297099
0.41654736842105267,2.1656704,0.4,2.3092828
0.41974736842105265,2.1547477,0.4024000000000001,2.2708504
0.4214105263157895,2.1341758,0.402,2.287718
0.4285473684210526,2.1129608,0.4224,2.2170882
0.43328421052631577,2.0893672,0.4232,2.178411
0.4399789473684211,2.0673342,0.4168,2.237037
0.44079999999999997,2.0616689,0.4232,2.1950808
0.4443578947368421,2.0479639,0.41519999999999996,2.2240949
0.4502736842105263,2.0250945,0.41600000000000004,2.205811
0.4508,2.012325,0.44239999999999996,2.1731205
0.45511578947368425,1.993519,0.42279999999999995,2.1615722
0.45962105263157893,1.9798584,0.42879999999999996,2.1404307
0.46096842105263164,1.9703814,0.43439999999999995,2.1390405
0.46640000000000004,1.9480345,0.44160000000000005,2.1567066
0.46625263157894736,1.9473636,0.4292,2.1528702
0.4707789473684211,1.9272752,0.44559999999999994,2.1145997
0.4699368421052632,1.9235793,0.44439999999999996,2.0893795
0.4740842105263158,1.9139673,0.43879999999999997,2.1638978
0.4797684210526316,1.9003335,0.4432,2.149821
0.48033684210526323,1.8884026,0.44920000000000004,2.1268198
0.48381052631578947,1.8743759,0.45880000000000004,2.0941706
0.4870315789473684,1.8713417,0.44160000000000005,2.1038024
0.4887578947368421,1.8557429,0.44,2.1647413
0.4904631578947368,1.8497542,0.4636,2.0721292
0.49002105263157897,1.8401566,0.46159999999999995,2.0754366
0.496,1.8299594,0.46559999999999996,2.0636375
0.4956421052631579,1.8292998,0.4708,2.034962
0.5009263157894737,1.8121847,0.4608,2.038661
0.49915789473684213,1.810636,0.46440000000000003,2.0541046
0.5031789473684211,1.7945223,0.45319999999999994,2.063218
0.505621052631579,1.7862682,0.45960000000000006,2.028721
0.5073684210526316,1.7826833,0.44920000000000004,2.0604157
0.5089684210526315,1.7755394,0.45359999999999995,2.0903695
0.5129052631578948,1.760557,0.4671999999999999,2.0497386
0.5094315789473683,1.7643148,0.47600000000000003,2.01344
0.5136842105263157,1.7500694,0.4792,2.0033903
0.5140631578947369,1.746834,0.4664,2.0190308
0.5160210526315789,1.739255,0.45959999999999995,2.0367546
0.5168631578947368,1.7295934,0.47159999999999996,2.001731
0.521242105263158,1.7255725,0.4728,1.967488
0.5191368421052631,1.7181386,0.4736,2.0009017
0.5248210526315789,1.7118202,0.47400000000000003,2.0077574
0.5251157894736842,1.7063718,0.4796,1.9765058
0.5254105263157894,1.7042434,0.4764,1.9704002
0.5279368421052631,1.700765,0.46879999999999994,1.9896644
0.5276842105263158,1.6955522,0.47759999999999997,1.9681858
0.5301473684210526,1.6849719,0.47200000000000003,1.9727075
0.5290315789473684,1.6805755,0.4852,1.9760776
0.5288421052631579,1.6787907,0.48399999999999993,1.9652545
0.5312842105263158,1.6768975,0.4795999999999999,1.9975023
0.5340842105263158,1.6690489,0.474,1.9762521
0.5366526315789474,1.662403,0.4792,1.9690753
0.5358947368421053,1.6619239,0.484,1.9522203
0.5350947368421053,1.6570759,0.4828,1.9640001
0.5361263157894736,1.6499984,0.4756,1.9623289
0.5392842105263157,1.6506096,0.47919999999999996,1.958035
0.5408,1.6439159,0.47479999999999994,1.952223
0.5423157894736843,1.6349713,0.48160000000000003,1.9451401
0.5397684210526316,1.6404529,0.48560000000000003,1.9595736
0.5404842105263158,1.6427674,0.482,1.9552968
0.5412,1.6356035,0.4804,1.9369434
0.5429263157894738,1.6276821,0.4828,1.9412291
0.5428421052631579,1.6300105,0.4864,1.9434483
0.5447578947368421,1.62777,0.4824,1.932793
0.5460421052631579,1.6271218,0.4828,1.9320085
0.5454526315789474,1.6219518,0.4807999999999999,1.944584
0.5453894736842105,1.6208152,0.48479999999999995,1.9432225
0.5437473684210526,1.6241435,0.484,1.9433397
0.5452842105263158,1.6173264,0.4892,1.9352396
0.5475368421052631,1.6115376,0.4904,1.9464731
0.5436842105263158,1.6205541,0.4847999999999999,1.9475389
0.5466947368421052,1.6177914,0.486,1.9364803
0.5458105263157894,1.6153094,0.4864,1.9387388
0.5476842105263158,1.6154456,0.48480000000000006,1.940589
0.5469263157894737,1.6164188,0.48719999999999997,1.9412122
